epoch,phase,accuracy
0,train,0.28010196954881966
0,test,0.2426147077309868
1,train,0.28331470875820647
1,test,0.32181018227529856
2,train,0.2816734180751502
2,test,0.27686989314896293
3,train,0.27982260092191646
3,test,0.32683846637335007
4,train,0.2794733901382875
4,test,0.2605279698302954
5,train,0.27573683475345717
5,test,0.22752985543683218
6,train,0.28149881268333565
6,test,0.36926461345066
7,train,0.279997206313731
7,test,0.3227529855436832
8,train,0.28114960189970667
8,test,0.308296668761785
9,train,0.2778320994552312
9,test,0.31741043368950345
10,train,0.2778670205335941
10,test,0.26838466373350095
11,train,0.27964799553010194
11,test,0.21841609050911376
12,train,0.28195278670205337
12,test,0.3284098051539912
13,train,0.2786352842575779
13,test,0.29824010056568195
14,train,0.28048610141081154
14,test,0.3368950345694532
15,train,0.28240676072077103
15,test,0.25895663104965433
16,train,0.2783209945523118
16,test,0.3199245757385292
17,train,0.28209247101550494
17,test,0.21653048397234445
18,train,0.2784257577874005
18,test,0.25769956002514144
19,train,0.28261628719094845
19,test,0.32306725329981145
20,train,0.27957815337337616
20,test,0.28472658705216847
21,train,0.28320994552311773
21,test,0.3076681332495286
22,train,0.28073054895935184
22,test,0.3013827781269642
23,train,0.27933370582483585
23,test,0.3343808925204274
24,train,0.28223215532895657
24,test,0.2872407291011942
25,train,0.28090515435116636
25,test,0.20678818353236958
26,train,0.28551473669506916
26,test,0.2891263356379635
27,train,0.2794733901382875
27,test,0.32935260842237585
28,train,0.28310518228802906
28,test,0.34349465744814583
29,train,0.28174326023187596
29,test,0.2382149591451917
30,train,0.27793686269031986
30,test,0.33972344437460716
31,train,0.28223215532895657
31,test,0.29352608422375864
32,train,0.28233691856404525
32,test,0.21684475172847265
33,train,0.27874004749266656
33,test,0.27561282212445004
34,train,0.28156865484006144
34,test,0.21841609050911376
35,train,0.28478139404944824
35,test,0.2960402262727844
36,train,0.2821972342505937
36,test,0.33155248271527343
37,train,0.2824766028774969
37,test,0.2881835323695789
38,train,0.2770638357312474
38,test,0.3192960402262728
39,train,0.2775178097499651
39,test,0.3450659962287869
40,train,0.28100991758625504
40,test,0.29352608422375864
41,train,0.28310518228802906
41,test,0.2338152105593966
